,min,max,mean
2,0.0171119570732116,0.2358088493347168,0.09577487947446887
3,0.0098444912582635,0.1223275959491729,0.06519052576925322
4,0.0092100230976939,0.1278741806745529,0.052638066923454595
5,0.0025660076644271,0.1069297939538955,0.03681669638846211
6,0.000459467904875,0.0946182310581207,0.0273179114930382
7,0.0002168963255826,0.0642252266407013,0.019854380786922293
8,9.920775482896715e-05,0.0517252832651138,0.010985429805445299
9,9.011809015646576e-05,0.0329215638339519,0.008258889783117649
10,5.737975698139053e-06,0.024937268346548,0.005904901172667203
11,1.637506102269981e-05,0.0178584810346364,0.0032676825105755576
12,5.44437461940106e-05,0.0204361658543348,0.0021764615374157146
13,7.647033726243535e-07,0.0154947508126497,0.0014523542303751101
14,2.4925144170850903e-09,0.0031809308566153,0.000490360438098532
15,5.669886435355487e-12,0.0015498395077884,0.00016381263886427753
16,0.0,0.0009081812459044,6.938372657878239e-05
17,0.0,0.0002145941107301,1.5868454692760183e-05
18,0.0,5.492240597959608e-05,4.942001198009067e-06
19,0.0,1.1574727977858856e-05,8.95476767679572e-07
20,0.0,5.236354354565265e-07,3.274210375376461e-08
