,min,max,mean
2,0.0060194716788828,0.3875391781330108,0.1055133463346559
3,0.0033020502887666,0.2744962275028229,0.05906827818772222
4,0.0023247175849974,0.256227970123291,0.042763277993400545
5,0.0026667329948395,0.1478223800659179,0.03280353740909577
6,0.0014190688962116,0.1045999377965927,0.018899676691335705
7,0.0007670204504393,0.1135831475257873,0.014403798738348192
8,0.0006200653733685,0.0306878816336393,0.009175146755800452
9,0.0002113392547471,0.045225728303194,0.008244496879386833
10,5.044110730523244e-05,0.0258868727833032,0.00418585066881455
11,3.4189804864581674e-05,0.0229914505034685,0.0027891791782186214
12,4.464633093448356e-05,0.0111852884292602,0.002108058828457385
13,1.4485418432741426e-05,0.006294104270637,0.0009275078779569004
14,5.388878435041988e-06,0.007471177726984,0.0006941840358764983
15,2.125063474522904e-06,0.0028086700476706,0.00024950407039213017
16,2.4855788538502566e-09,0.0009494118858128,0.0001247969985295363
17,6.790990296143273e-13,0.0007396590081043,4.479549125756588e-05
18,7.97418457075224e-32,6.406777538359165e-05,4.576506995759995e-06
19,1.118753708705836e-31,2.6117909328604583e-06,3.8534186850036606e-07
20,2.664537126047035e-32,1.3823606703766702e-09,4.578488395071549e-11
