repository,LCOM5,WMC,CBO,NOI_x,RFC,CLOC_x,DIT,NOA,NOC,NOD,NOP,LOC_x,LLOC_x,NM,NLM,NOS_x,TLOC_x,TLLOC_x,TNM,TNLM,TNOS_x,McCC,NOI_y,CLOC_y,DLOC,TCLOC,LLOC_y,LOC_y,NOS_y,NUMPAR,TLLOC_y,TLOC_y,TNOS_y,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
freqtrade_freqtrade,2.634005763688761,12.495677233429396,0.239193083573487,0.0605187319884726,4.144092219020173,22.22478386167147,0.2593659942363112,0.2593659942363112,0.1671469740634005,0.2593659942363112,0.1671469740634005,89.31412103746398,70.21613832853026,4.469740634005763,4.083573487031701,29.26801152737752,90.04322766570606,70.68876080691642,4.510086455331412,4.100864553314121,29.582132564841498,3.07735982966643,0.396735273243435,4.610361958836054,3.441447835344216,4.612491128459901,12.508871540099362,18.706884315117104,7.185237757274663,2.6777856635911994,12.5486160397445,18.74946770759404,7.209368346344926,22.68107818089796,1.0967199342322551,159.66208962768204,0.0152341520382625,11.160668010365676,7.202130722718112,8.870116090426864,45.70245611478752,33.668124066650975
oobabooga_text-generation-webui,3.683333333333333,11.916666666666666,0.2333333333333333,0.1166666666666666,4.666666666666667,4.25,0.1666666666666666,0.1666666666666666,0.15,0.1666666666666666,0.15,59.38333333333333,45.016666666666666,5.416666666666667,4.55,32.733333333333334,59.38333333333333,45.016666666666666,5.466666666666667,4.55,32.733333333333334,2.6481481481481484,0.2481481481481481,0.8703703703703703,0.1222222222222222,0.8703703703703703,9.422222222222222,11.670370370370373,7.211111111111111,2.1703703703703705,9.514814814814814,11.766666666666667,7.274074074074074,20.41228795470057,1.0028605163720965,243.21355228029424,0.0131260570855738,8.854166666666666,5.893229166666667,13.5118640155719,39.378171256721785,48.1166974636604
matplotlib_matplotlib,3.996613995485328,13.98081264108352,0.6805869074492099,0.6388261851015802,6.335214446952596,40.40744920993228,0.5428893905191874,0.572234762979684,0.345372460496614,0.572234762979684,0.345372460496614,104.38600451467268,83.2020316027088,14.445823927765238,5.696388261851016,35.50112866817156,106.36455981941307,84.68510158013544,14.651241534988714,5.808126410835214,36.10835214446953,2.4953666398066074,0.4744157937147462,6.044117647058823,4.977034649476229,6.085414987912974,9.122280419016922,15.7209911361805,6.225020145044319,2.4317082997582595,9.288678485092667,15.93392425463336,6.337228041901692,17.39361377705693,0.9775639467279712,186.802713075865,0.0122313625688896,8.864922118380063,5.597757009345794,10.377928504214507,36.69408770667005,23.350237685780986
OpenBB-finance_OpenBBTerminal,5.988593155893536,27.73384030418251,0.0646387832699619,0.1863117870722433,7.612167300380228,34.81749049429658,0.0114068441064638,0.0114068441064638,0.0114068441064638,0.0114068441064638,0.0114068441064638,269.106463878327,236.58555133079847,7.623574144486692,7.425855513307985,66.96958174904942,269.11406844106466,236.57794676806083,7.661596958174905,7.425855513307985,66.96958174904942,3.75398867730314,0.2424086464230571,3.233144621718991,2.863612969634586,3.23623262995368,28.95728255275348,33.28255275347401,9.038600102933607,2.029850746268657,28.58620689655172,33.31909418425116,9.06484817292846,13.70939548420326,0.8124108962861132,109.19008989032464,0.008826189803713,6.71932860356463,4.799965391936321,6.066116105017906,26.478569411139407,51.96627397533714
huggingface_diffusers,3.369406021155411,16.808787632221318,0.2400325467860048,0.3913751017087062,5.538649308380798,31.54597233523189,0.0390561432058584,0.0390561432058584,0.0317331163547599,0.0390561432058584,0.0317331163547599,152.0878763222132,117.5321399511798,5.2620016273393,5.147274206672091,51.53946297803092,152.0919446704638,117.5345809601302,5.4556550040683485,5.157038242473556,51.57119609438568,3.38655737704918,0.4675409836065574,5.038688524590164,3.376229508196721,5.059672131147541,19.26688524590164,27.18262295081967,10.14,3.43344262295082,19.644918032786887,27.624590163934425,10.39032786885246,44.1870478776741,1.7806158309942948,651.2445028386143,0.0303016302654935,18.09657212458674,10.944840786497302,36.18025015770097,90.9048907964823,38.56549163224717
pypa_pipenv,2.9716183574879227,11.831521739130435,0.5996376811594203,0.3484299516908212,4.4227053140096615,14.909420289855072,0.607487922705314,0.6153381642512077,0.4190821256038647,0.6153381642512077,0.4190821256038647,64.68840579710145,50.31400966183575,9.105676328502415,4.074275362318841,25.040458937198068,64.8677536231884,50.45289855072464,9.21135265700483,4.0893719806763285,25.10326086956522,2.969986357435198,0.3988176443838108,2.670911020160679,1.6292254054873427,2.6945581324844627,9.978323480369864,13.156131574958314,6.175079581628013,2.27012278308322,10.159314840078824,13.36425648021828,6.2902834621797785,13.637666156071784,0.8813756897652917,105.29842395713928,0.0087133135814367,6.769014428955735,4.839447297627782,5.849912442063227,26.139940744310497,35.79434097524343
numpy_numpy,3.725853094274147,7.543088490456911,0.4488143435511856,0.5054945054945055,4.937536148062464,11.104106419895894,0.3383458646616541,0.3753614806246385,0.2712550607287449,0.3753614806246385,0.2712550607287449,62.31578947368421,48.249277038750726,7.200115673799885,4.432041642567959,29.521110468478888,62.33256217466744,48.26431463273568,7.436668594563331,4.534412955465587,29.703875072296125,1.755080069977123,0.314224195935944,1.924909164311668,0.9130668819808908,1.964876867178038,9.398062171982236,12.000403714170368,6.77459292154488,1.5201184228233078,9.654016955995155,12.286233346790471,6.910240882788319,14.846567848199015,0.9479620926596326,170.62529759629223,0.0109471384837059,8.218386419988557,4.958325386229258,9.479183199793797,32.84141545111986,19.982683584900347
nicolargo_glances,4.416666666666667,23.541666666666668,0.225,0.2333333333333333,7.783333333333333,35.88333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,0.0583333333333333,139.25,98.925,8.425,7.55,57.225,139.25,98.925,8.45,7.55,57.225,3.1284606866002216,0.4828349944629014,4.365448504983389,1.840531561461794,4.372093023255814,10.841638981173864,16.503875968992247,7.5869324473975635,1.9169435215946844,10.870431893687709,16.54042081949059,7.604651162790698,16.211548361114613,0.8809611577515816,146.23456895382031,0.0105456840228051,7.68321513002364,5.380614657210402,8.12414271965669,31.637052068415432,55.22314124048162
lllyasviel_ControlNet,2.6979166666666665,9.695833333333333,0.34375,0.29375,3.716666666666667,17.860416666666666,0.1604166666666666,0.1604166666666666,0.1375,0.1604166666666666,0.1375,74.24375,56.516666666666666,4.64375,3.4229166666666666,28.339583333333334,74.24375,56.516666666666666,4.714583333333334,3.4229166666666666,28.339583333333334,2.892479801118707,0.3064014916096955,2.705407085146053,2.0540708514605344,2.7203231821006835,13.982597886886264,17.705407085146053,8.279676817899317,3.632069608452455,14.208825357364825,17.969546302050965,8.454319453076446,27.773573937761128,1.3615439118250554,334.78603907545613,0.0191631794970547,12.532513181019333,7.864674868189807,18.599224393080867,57.48953849116365,53.49374386632016
Lightning-AI_lightning,2.624752475247525,5.842079207920792,0.2336633663366336,0.0772277227722772,3.2955445544554456,7.592574257425743,0.0524752475247524,0.0544554455445544,0.0504950495049505,0.0544554455445544,0.0504950495049505,34.201980198019804,26.612871287128712,3.3876237623762377,3.2183168316831683,12.662376237623764,34.20445544554455,26.615346534653465,3.4361386138613863,3.2212871287128717,12.66881188118812,1.84131689811203,0.2189109065376814,1.680449368076143,1.2430956467467624,1.691995631143704,6.525354969574036,8.670307380246529,3.9247932594788577,2.1046965205180217,6.6264627867061945,8.787954439070058,3.992978623810267,9.594995793219834,0.6451440665145041,50.85931520865204,0.0062514325440742,5.389523687251252,3.826678649377327,2.825517511591768,18.75429763222236,49.97346783274988
gradio-app_gradio,3.1555555555555554,8.686111111111112,0.2138888888888888,0.1555555555555555,4.105555555555555,11.40277777777778,0.1138888888888888,0.1138888888888888,0.1055555555555555,0.1138888888888888,0.1055555555555555,82.94166666666666,73.49444444444444,3.9444444444444446,3.95,26.88055555555556,82.94166666666666,73.49444444444444,4.444444444444445,3.975,26.93055555555556,2.4996003197442045,0.1630695443645084,2.569944044764189,2.15347721822542,2.6003197442046364,17.519584332533974,20.81294964028777,7.233413269384492,3.2222222222222223,18.42286171063149,21.76498800959233,7.749800159872103,16.206069199812013,0.8229819699658292,109.52458303312974,0.0099802716623582,7.420988407565589,5.337400854179378,6.084699057396096,29.94081498707473,38.18725172827379
