repository,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
babysor_MockingBird,2.261904761904762,0.0,0.0,7.880952380952381,0.2976190476190476,0.0,0.0,0.2738095238095238,3.267857142857143,0.0,10.898809523809524,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,0.0238095238095238,60.11309523809524,47.42857142857143,0.0,3.0595238095238093,0.0,2.994047619047619,28.714285714285715,60.11309523809524,47.42857142857143,0.0,3.0595238095238093,0.0,2.994047619047619,28.714285714285715
certbot_certbot,4.058119658119658,0.0,0.0,9.837606837606838,0.2803418803418803,0.0,0.0,0.229059829059829,6.461538461538462,0.0,15.688888888888888,0.2786324786324786,0.2837606837606837,0.2119658119658119,0.2837606837606837,0.2119658119658119,77.17606837606837,60.04786324786325,0.0,6.644444444444445,0.0,6.2324786324786325,31.6991452991453,77.35726495726496,60.16752136752137,0.0,6.747008547008547,0.0,6.25982905982906,31.75897435897436
ansible_ansible,2.46,0.0,0.0,11.521935483870967,0.3838709677419354,0.0,0.0,0.2490322580645161,3.944516129032258,0.0,9.24967741935484,0.2670967741935484,0.2748387096774193,0.2238709677419355,0.2748387096774193,0.2238709677419355,65.0883870967742,49.21870967741936,0.0,5.13741935483871,0.0,3.695483870967742,29.19935483870968,65.12193548387097,49.25096774193548,0.0,5.232903225806451,0.0,3.7025806451612895,29.205806451612904
django_django,2.1160478798945017,0.0,0.0,4.090789206735646,0.3577804828565632,0.0,0.0,0.107932643538243,2.727023737066342,0.0,4.370967741935484,0.2046053966321769,0.2234733211604788,0.1646378575776019,0.2234733211604788,0.1646378575776019,38.24670318523027,32.320856157435585,0.0,3.779265571109759,0.0,2.619091093528099,12.724284844796104,38.58693446946642,32.65865287076486,0.0,3.8944004869141815,0.0,2.662000405761818,12.7930614729154
psf_black,1.6045627376425855,0.0,0.0,5.44106463878327,0.1634980988593156,0.0,0.0,0.2623574144486692,2.346007604562738,0.0,7.61596958174905,0.0570342205323193,0.0684410646387832,0.0608365019011406,0.0684410646387832,0.0608365019011406,37.247148288973385,31.0532319391635,0.0,2.3802281368821294,0.0,2.0836501901140685,14.190114068441064,37.52471482889734,31.281368821292777,0.0,2.517110266159696,0.0,2.114068441064638,14.197718631178708
AUTOMATIC1111_stable-diffusion-webui,2.676190476190476,0.0,0.0,10.622222222222222,0.4253968253968254,0.0,0.0,0.4222222222222222,3.971428571428572,0.0,5.104761904761904,0.1809523809523809,0.1809523809523809,0.1682539682539682,0.1809523809523809,0.1682539682539682,59.86666666666667,47.06984126984127,0.0,4.647619047619048,0.0,3.549206349206349,33.4,59.86666666666667,47.06984126984127,0.0,4.806349206349206,0.0,3.552380952380952,33.403174603174605
localstack_localstack,3.595778364116095,0.0,0.0,7.755672823218997,0.2395778364116094,0.0,0.0,0.2242744063324538,4.677044854881267,0.0,7.224802110817942,0.1113456464379947,0.1150395778364116,0.0992084432717678,0.1150395778364116,0.0992084432717678,75.69076517150395,61.64063324538259,0.0,4.745118733509234,0.0,4.452770448548812,26.718733509234827,78.24116094986807,63.494459102902375,0.0,5.680738786279683,0.0,5.089182058047493,27.757783641160948
pandas-dev_pandas,7.484662576687117,0.0,0.0,14.762151958470977,0.2255781028787163,0.0,0.0,0.3223218499292118,8.77678150070788,0.0,28.62199150542709,0.1882963662104766,0.1920717319490325,0.1552619159981123,0.1920717319490325,0.1552619159981123,154.818310523832,123.06370929683813,0.0,10.292590844738084,0.0,8.45445965077867,57.52571967909391,154.83105238319962,123.07409155261917,0.0,10.49174138744691,0.0,8.495516753185465,57.58140632373761
commaai_openpilot,2.5942857142857143,0.0,0.0,10.709714285714286,0.208,0.0,0.0,0.2834285714285714,3.718857142857143,0.0,5.956571428571428,0.0708571428571428,0.0754285714285714,0.0685714285714285,0.0754285714285714,0.0685714285714285,57.88228571428572,44.656,0.0,3.5885714285714285,0.0,3.4354285714285715,32.02628571428571,57.88228571428572,44.656,0.0,3.645714285714286,0.0,3.4354285714285715,32.02628571428571
mitmproxy_mitmproxy,2.619918699186992,0.0,0.0,7.113821138211383,0.4105691056910569,0.0,0.0,0.2225609756097561,3.649390243902439,0.0,4.324186991869919,0.2693089430894309,0.2693089430894309,0.1941056910569105,0.2693089430894309,0.1941056910569105,44.16056910569106,37.00508130081301,0.0,4.1727642276422765,0.0,3.426829268292683,18.679878048780488,47.832317073170735,40.22865853658536,0.0,4.439024390243903,0.0,3.6453252032520327,19.836382113821134
PaddlePaddle_PaddleOCR,2.3545454545454545,0.0,0.0,9.206493506493509,0.4896103896103896,0.0,0.0,0.2844155844155844,3.5636363636363635,0.0,6.1220779220779225,0.0961038961038961,0.0961038961038961,0.0844155844155844,0.0961038961038961,0.0844155844155844,67.05844155844156,57.3012987012987,0.0,3.585714285714286,0.0,3.279220779220779,34.78051948051948,67.05844155844156,57.3012987012987,0.0,3.655844155844156,0.0,3.279220779220779,34.78051948051948
nvbn_thefuck,5.775,0.0,0.0,8.95,0.05,0.0,0.0,0.275,7.05,0.0,3.475,0.0,0.0,0.0,0.0,0.0,50.125,42.6,0.0,6.75,0.0,6.775,18.75,50.125,42.6,0.0,6.9,0.0,6.9,18.875
XX-net_XX-Net,2.309870550161812,0.0,0.0,10.647249190938512,0.551779935275081,0.0,0.0,0.5307443365695793,3.8762135922330097,0.0,15.454692556634305,0.4757281553398058,0.5121359223300971,0.3163430420711974,0.5121359223300971,0.3163430420711974,63.98139158576052,48.97653721682848,0.0,6.28074433656958,0.0,3.3454692556634305,25.972491909385116,64.1205501618123,49.09304207119741,0.0,6.325242718446602,0.0,3.3640776699029127,26.03074433656958
tiangolo_fastapi,0.2651851851851852,0.0,0.0,0.5407407407407407,0.1377777777777777,0.0,0.0,0.0044444444444444,0.317037037037037,0.0,0.2725925925925926,0.1303703703703703,0.1303703703703703,0.1259259259259259,0.1303703703703703,0.1259259259259259,9.207407407407407,8.555555555555555,0.0,0.3362962962962963,0.0,0.3125925925925926,1.0888888888888888,9.416296296296297,8.764444444444445,0.0,0.362962962962963,0.0,0.3125925925925926,1.0888888888888888
