McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
1.0,,,,0.3744340439264856,,0.14263974391615664,0.04465219825053561,,0.14248620037549478,0.5759351711371566,0.5715800358659917,0.7969574833163254,0.0561858474701856,0.5605878476643316,0.5646303580845516,0.7876870198891871,0.4670637780543322,0.5677714326989358,0.44070903902816055,0.4391079161527667,0.4818829995003126,0.5414808878367042,0.4407090390281601,0.4391079161527621,-0.11975982987858422
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.3744340439264856,,,,1.0,,-0.05846064068202571,-0.11753837535647053,,-0.056975213831658274,0.10532933083277825,0.07931979072688106,0.3624215891267436,-0.23840774165761966,0.10376345161305528,0.07885053086033202,0.36258066089753965,0.09877813132950788,0.23985689318818854,0.09937074732121969,0.08474317759201738,0.11904593326550308,0.15421642608439529,0.09937074732121785,0.08474317759201146,-0.2158036584443746
,,,,,,,,,,,,,,,,,,,,,,,,,
0.14263974391615664,,,,-0.05846064068202571,,1.0,0.9804050098196365,,0.99991227594296,0.17465470761459967,0.5888048551562308,0.12822643610544898,0.09630721963135398,0.15336936462262912,0.5713637973139336,0.10918249999890574,0.06792302457477298,0.18484886166926648,0.048964268824601025,0.06879697089864231,0.10586988777769057,0.11351599482574751,0.04896426882460173,0.06879697089864398,-0.022310774270761793
0.04465219825053561,,,,-0.11753837535647053,,0.9804050098196365,1.0,,0.9799488330586593,0.11431981045325064,0.5225091136912168,0.011992733516503946,0.11380555669865096,0.09411784245665897,0.5056050105487209,-0.005197171527784209,0.006696408421563875,0.09721990588615419,-0.00962089738606508,0.009001804354629862,0.03687837525287637,0.03912206544210718,-0.009620897386064375,0.009001804354630865,0.0052080554966118355
,,,,,,,,,,,,,,,,,,,,,,,,,
0.14248620037549478,,,,-0.056975213831658274,,0.99991227594296,0.9799488330586593,,1.0,0.17553199012254475,0.5893362665499023,0.12865081738880071,0.09475276593621296,0.15515929443211893,0.572655270903537,0.11054264278866192,0.06754424351423294,0.18492437876062892,0.04810016877975825,0.06832601640054856,0.10563789613691962,0.11343808865755806,0.048100168779758964,0.06832601640055046,-0.02572686446412347
