,repository,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
0,aio-libs_aiohttp,8.435656026851083,0.6280301262674809,38.1359793560078,0.0051936288107383,5.058948004836759,3.98186215235792,2.11866551977823,15.580886432214767,18.365271769426123
1,aleju_imgaug,22.60937518981558,1.101829626882829,450.93292682269634,0.018644452087863774,12.125088715400993,6.818310858765082,25.051829267927577,55.93335626359267,4.788722969024531
2,ansible_ansible,16.96010135981098,0.8217036685488894,140.21429296386293,0.010461528327194165,7.453463203463204,5.358585858585859,7.78968294243674,31.384584981583053,43.61966282865598
3,apache_tvm,26.304484048820306,0.9373821639250429,321.2091253041628,0.02041741965067094,12.221337579617835,6.798284364084652,17.844951405787032,61.25225895201626,39.1450009458756
4,AUTOMATIC1111_stable-diffusion-webui,26.80671152753825,1.2661992833432605,347.16318512121023,0.018636285172942888,12.019346230820547,7.4949966644429615,19.286843617845,55.90885551882846,34.51548646674029
5,aws_aws-cli,4.324201102912916,0.32862334639999025,13.027923419899501,0.0026884009494050004,2.7498666666666667,2.1619555555555556,0.7237735233277427,8.06520284821467,50.001150814799054
6,babysor_MockingBird,25.106024442934434,1.4114367287060154,280.3545705517888,0.017225383725583413,11.832618025751072,7.628040057224607,15.575253919543862,51.676151176750466,52.13624830755295
7,borgbackup_borg,17.208267067410127,0.991879361355833,127.73060553182535,0.011333772327528784,8.845704266510813,5.9719462302746935,7.0961447517680964,34.001316982586495,29.85127901510431
8,certbot_certbot,6.389739869313379,0.528446303887817,21.653245184475413,0.00400170815546281,4.061914672216441,3.186004162330905,1.2029580658041912,12.005124466388656,35.593161579485376
9,Ciphey_Ciphey,6.419824073734508,0.507664055669279,51.37674756997861,0.004158679158324598,3.4781746031746033,2.632936507936508,2.8542637538877056,12.47603747497385,66.40354725936743
10,comfyanonymous_ComfyUI,40.41752207398661,1.6833124135957536,534.4203232834205,0.02953042130319558,18.00423728813559,10.29978813559322,29.690017960190044,88.59126390958667,32.48077293533374
11,commaai_openpilot,29.482534507817242,1.2399191411141044,351.9956660142542,0.01940551088762038,12.221692491060786,7.962653953118792,19.555314778569553,58.216532662861056,42.686780378930635
12,ddbourgin_numpy-ml,22.990514764968953,1.3702028266287762,151.03500835552632,0.01467766260555727,10.926578560939795,7.475770925110132,8.390833797529254,44.03298781667191,39.822718727243014
13,Delgan_loguru,9.128446979796442,0.6673855663214553,61.3672895530072,0.005833825680470001,5.297574626865671,4.134328358208955,3.409293864055939,17.50147704141024,39.293769246933685
14,django_django,4.063345196325972,0.2960695960065102,23.07303830066074,0.0025199362879704704,2.2294548069195956,1.7147993063486022,1.2818354611478187,7.559808863911319,43.277773227872814
15,encode_django-rest-framework,6.65152941448555,0.5302898214498771,23.26819598673506,0.004299172602756636,4.365716954694069,3.3736571695469406,1.2926775548186193,12.897517808270074,32.446147425057966
16,explosion_spaCy,15.786619229392214,0.9074908361100904,95.3144925987654,0.010612978261350195,8.751097178683386,5.783385579937304,5.295249588820316,31.838934784050174,36.27013987966846
17,facebookresearch_detectron2,18.932429882498422,1.0800372145493582,160.86464022416902,0.012286135552648984,8.95806745670009,6.10619872379216,8.936924456898295,36.858406657946645,54.95717790994601
18,facebookresearch_ParlAI,14.37192535777118,0.8169296486083915,111.94226572626606,0.00906088872495876,6.8058813811333225,4.830497274078969,6.219014762570313,27.182666174876157,49.64122825631714
19,flairNLP_flair,18.75014149486684,0.9695438102235939,156.56215322604166,0.012675800902765882,9.339673913043478,6.053442028985507,8.69789740144676,38.02740270829777,31.668898527913772
20,frappe_erpnext,15.623133610999108,0.8775683452726092,90.9421169365831,0.009367350440180064,7.275507874914403,5.367267747089706,5.052339829810104,28.10205132054075,33.074964116347076
21,freqtrade_freqtrade,22.68107818089796,1.0967199342322553,159.66208962768204,0.015234152038262594,11.160668010365677,7.2021307227181115,8.870116090426864,45.702456114787516,33.668124066650975
