,HCPL,HDIF,HEFF,HNDB,HPL,HPV,HTRP,HVOL,MI
count,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
mean,16.80252766110618,0.8733676755969044,158.10589375001274,0.011177419944685029,7.964875660041239,5.320216758622423,8.783660763889593,33.532259834055445,43.16544603998975
std,11.9828977335843,0.33798058099190903,148.94324243558884,0.008146078829073816,4.273148319120577,2.429666226129656,8.274624579754922,24.438236487221495,12.919249650312908
min,2.904721720288656,0.20686791299011187,9.664271929100787,0.001827506538357316,1.7190476190476192,1.192063492063492,0.5369039960611591,5.482519615072019,4.788722969024531
25%,9.723387043198613,0.6390442214568389,61.21334124678505,0.00639548160581848,5.436488905927098,3.834767896117235,3.400741180376942,19.186444817457325,35.42116196295898
50%,14.846567848199015,0.8489805861666659,118.85824433778929,0.009367350440180064,7.055235350624399,4.958325386229258,6.6032357965438555,28.10205132054075,41.578146624514495
75%,20.5640420192764,1.0601005544804107,208.6593240576332,0.013922577122253884,9.639956326046551,6.323294125380383,11.592184669868491,41.767731366761666,50.430542927937154
max,98.68665511709573,1.7806158309942948,803.8467050630394,0.06441241379034243,32.481944444444444,18.858333333333334,44.65815028127989,193.23724137102727,90.09802608650547
