repository,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
freqtrade_freqtrade,2.634005763688761,0.0,0.0,12.495677233429396,0.23919308357348704,0.0,0.0,0.06051873198847262,4.144092219020173,0.0,22.22478386167147,0.25936599423631124,0.25936599423631124,0.16714697406340057,0.25936599423631124,0.16714697406340057,89.31412103746398,70.21613832853026,0.0,4.469740634005763,0.0,4.083573487031701,29.26801152737752,90.04322766570606,70.68876080691642,0.0,4.510086455331412,0.0,4.100864553314121,29.582132564841498
oobabooga_text-generation-webui,3.683333333333333,0.0,0.0,11.916666666666666,0.23333333333333334,0.0,0.0,0.11666666666666667,4.666666666666667,0.0,4.25,0.16666666666666666,0.16666666666666666,0.15,0.16666666666666666,0.15,59.38333333333333,45.016666666666666,0.0,5.416666666666667,0.0,4.55,32.733333333333334,59.38333333333333,45.016666666666666,0.0,5.466666666666667,0.0,4.55,32.733333333333334
matplotlib_matplotlib,3.9966139954853275,0.0,0.0,13.98081264108352,0.6805869074492099,0.0,0.0,0.6388261851015802,6.3352144469525955,0.0,40.40744920993228,0.5428893905191874,0.572234762979684,0.345372460496614,0.572234762979684,0.345372460496614,104.38600451467269,83.2020316027088,0.0,14.445823927765238,0.0,5.696388261851016,35.50112866817156,106.36455981941309,84.68510158013544,0.0,14.651241534988714,0.0,5.808126410835214,36.10835214446953
OpenBB-finance_OpenBBTerminal,5.988593155893536,0.0,0.0,27.73384030418251,0.06463878326996197,0.0,0.0,0.18631178707224336,7.612167300380228,0.0,34.81749049429658,0.011406844106463879,0.011406844106463879,0.011406844106463879,0.011406844106463879,0.011406844106463879,269.106463878327,236.58555133079847,0.0,7.623574144486692,0.0,7.425855513307985,66.96958174904942,269.11406844106466,236.57794676806083,0.0,7.661596958174905,0.0,7.425855513307985,66.96958174904942
huggingface_diffusers,3.369406021155411,0.0,0.0,16.808787632221318,0.24003254678600489,0.0,0.0,0.39137510170870626,5.538649308380798,0.0,31.545972335231895,0.03905614320585842,0.03905614320585842,0.03173311635475997,0.03905614320585842,0.03173311635475997,152.0878763222132,117.53213995117981,0.0,5.2620016273393,0.0,5.147274206672091,51.53946297803092,152.0919446704638,117.53458096013019,0.0,5.4556550040683485,0.0,5.157038242473556,51.57119609438568
pypa_pipenv,2.9716183574879227,0.0,0.0,11.831521739130435,0.5996376811594203,0.0,0.0,0.34842995169082125,4.4227053140096615,0.0,14.909420289855072,0.607487922705314,0.6153381642512077,0.4190821256038647,0.6153381642512077,0.4190821256038647,64.68840579710145,50.31400966183575,0.0,9.105676328502415,0.0,4.074275362318841,25.040458937198068,64.8677536231884,50.45289855072464,0.0,9.21135265700483,0.0,4.0893719806763285,25.10326086956522
numpy_numpy,3.725853094274147,0.0,0.0,7.5430884904569115,0.44881434355118566,0.0,0.0,0.5054945054945055,4.937536148062464,0.0,11.104106419895894,0.3383458646616541,0.37536148062463853,0.27125506072874495,0.37536148062463853,0.27125506072874495,62.31578947368421,48.249277038750726,0.0,7.200115673799885,0.0,4.432041642567959,29.521110468478888,62.33256217466744,48.26431463273568,0.0,7.436668594563331,0.0,4.534412955465587,29.703875072296125
nicolargo_glances,4.416666666666667,0.0,0.0,23.541666666666668,0.225,0.0,0.0,0.23333333333333334,7.783333333333333,0.0,35.88333333333333,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,139.25,98.925,0.0,8.425,0.0,7.55,57.225,139.25,98.925,0.0,8.45,0.0,7.55,57.225
lllyasviel_ControlNet,2.6979166666666665,0.0,0.0,9.695833333333333,0.34375,0.0,0.0,0.29375,3.716666666666667,0.0,17.860416666666666,0.16041666666666668,0.16041666666666668,0.1375,0.16041666666666668,0.1375,74.24375,56.516666666666666,0.0,4.64375,0.0,3.4229166666666666,28.339583333333334,74.24375,56.516666666666666,0.0,4.714583333333334,0.0,3.4229166666666666,28.339583333333334
Lightning-AI_lightning,2.624752475247525,0.0,0.0,5.842079207920792,0.23366336633663368,0.0,0.0,0.07722772277227723,3.2955445544554456,0.0,7.592574257425743,0.05247524752475247,0.054455445544554455,0.0504950495049505,0.054455445544554455,0.0504950495049505,34.201980198019804,26.612871287128712,0.0,3.3876237623762377,0.0,3.2183168316831683,12.662376237623763,34.20445544554455,26.615346534653465,0.0,3.4361386138613863,0.0,3.2212871287128713,12.66881188118812
gradio-app_gradio,3.1555555555555554,0.0,0.0,8.686111111111112,0.21388888888888888,0.0,0.0,0.15555555555555556,4.105555555555555,0.0,11.402777777777779,0.11388888888888889,0.11388888888888889,0.10555555555555556,0.11388888888888889,0.10555555555555556,82.94166666666666,73.49444444444444,0.0,3.9444444444444446,0.0,3.95,26.880555555555556,82.94166666666666,73.49444444444444,0.0,4.444444444444445,0.0,3.975,26.930555555555557
mindsdb_mindsdb,2.6347087378640777,0.0,0.0,11.055825242718447,0.17233009708737865,0.0,0.0,0.13713592233009708,4.390776699029126,0.0,11.949029126213592,0.11650485436893204,0.11650485436893204,0.10922330097087378,0.11650485436893204,0.10922330097087378,80.4623786407767,64.71116504854369,0.0,4.481796116504855,0.0,4.253640776699029,31.743932038834952,80.55461165048544,64.7864077669903,0.0,4.560679611650485,0.0,4.262135922330097,31.765776699029125
python-telegram-bot_python-telegram-bot,3.5822784810126582,0.0,0.0,7.170886075949367,0.4291139240506329,0.0,0.0,0.0670886075949367,5.189873417721519,0.0,28.253164556962027,0.3518987341772152,0.3518987341772152,0.2810126582278481,0.3518987341772152,0.2810126582278481,108.99493670886076,84.44810126582279,0.0,5.546835443037975,0.0,5.122784810126582,29.383544303797468,109.6367088607595,84.8873417721519,0.0,6.334177215189873,0.0,5.270886075949367,29.631645569620254
google_jax,6.655097613882863,0.0,0.0,11.154013015184383,0.37310195227765725,0.0,0.0,1.5574837310195229,12.686550976138829,0.0,11.226681127982646,0.15509761388286333,0.1648590021691974,0.13882863340563992,0.1648590021691974,0.13882863340563992,112.97288503253796,90.14316702819957,0.0,8.686550976138829,0.0,11.129067245119305,48.92733188720174,113.0173535791757,90.17570498915401,0.0,12.771149674620391,0.0,11.189804772234273,49.01626898047722
n00mkrad_flowframes,3.3421052631578947,0.0,0.0,12.939628482972136,0.6927244582043344,0.0,0.0,0.5325077399380805,5.154024767801857,0.0,19.351393188854487,0.5379256965944272,0.5534055727554179,0.3475232198142415,0.5534055727554179,0.3475232198142415,73.05804953560371,54.777863777089784,0.0,11.992260061919504,0.0,4.621517027863777,29.0812693498452,73.43962848297214,55.06424148606811,0.0,12.16795665634675,0.0,4.680340557275541,29.24458204334365
gunthercox_ChatterBot,1.0942028985507246,0.0,0.0,1.5960144927536233,0.06884057971014493,0.0,0.0,0.021739130434782608,1.201086956521739,0.0,2.527173913043478,0.04710144927536232,0.04710144927536232,0.04710144927536232,0.04710144927536232,0.04710144927536232,18.67572463768116,14.632246376811594,0.0,1.306159420289855,0.0,1.1793478260869565,5.635869565217392,18.76086956521739,14.681159420289855,0.0,1.318840579710145,0.0,1.1865942028985508,5.648550724637682
merenlab_anvio,4.083950617283951,0.0,0.0,31.044444444444444,0.9037037037037037,0.0,0.0,0.7481481481481481,6.222222222222222,0.0,38.14074074074074,0.5160493827160494,0.5728395061728395,0.4074074074074074,0.5728395061728395,0.4074074074074074,200.84197530864196,147.95802469135802,0.0,8.51358024691358,0.0,5.474074074074074,92.23950617283951,200.8740740740741,147.99012345679012,0.0,8.580246913580247,0.0,5.476543209876543,92.24938271604938
pyecharts_pyecharts,1.365979381443299,0.0,0.0,3.077319587628866,0.25257731958762886,0.0,0.0,0.13917525773195877,1.6597938144329898,0.0,1.3350515463917525,0.18556701030927836,0.18556701030927836,0.18041237113402062,0.18556701030927836,0.18041237113402062,38.05670103092783,35.28865979381443,0.0,1.8969072164948453,0.0,1.5206185567010309,6.087628865979381,38.05670103092783,35.28865979381443,0.0,1.902061855670103,0.0,1.5206185567010309,6.087628865979381
wenhao-gao_mol_opt,2.9334470989761092,0.0,0.0,8.447098976109215,0.3890784982935154,0.0,0.0,0.4778156996587031,4.436860068259386,0.0,15.870307167235495,0.12457337883959044,0.12457337883959044,0.12457337883959044,0.12457337883959044,0.12457337883959044,68.28498293515358,51.267918088737204,0.0,4.71160409556314,0.0,3.9590443686006824,29.83788395904437,68.31569965870307,51.29863481228669,0.0,4.873720136518771,0.0,3.9590443686006824,29.83788395904437
ludwig-ai_ludwig,2.404494382022472,0.0,0.0,5.129213483146067,0.599250936329588,0.0,0.0,0.2247191011235955,2.960674157303371,0.0,6.557116104868914,0.5580524344569289,0.5720973782771536,0.5,0.5720973782771536,0.5,48.66385767790262,39.60299625468165,0.0,4.057116104868914,0.0,2.735955056179775,11.404494382022472,48.68352059925093,39.61329588014981,0.0,4.110486891385768,0.0,2.752808988764045,11.48314606741573
aleju_imgaug,6.589189189189189,0.0,0.0,13.074594594594595,0.5891891891891892,0.0,0.0,0.8443243243243244,9.062702702702703,0.0,36.8,0.5318918918918919,0.5318918918918919,0.3643243243243243,0.5318918918918919,0.3643243243243243,137.7816216216216,95.06378378378379,0.0,21.410810810810812,0.0,8.218378378378379,51.81837837837838,137.7881081081081,95.07027027027027,0.0,21.726486486486486,0.0,8.284324324324324,51.92648648648649
twitter_the-algorithm-ml,0.9202898550724637,0.0,0.0,2.5652173913043477,0.13768115942028986,0.0,0.0,0.15942028985507245,1.2753623188405796,0.0,4.594202898550725,0.050724637681159424,0.050724637681159424,0.050724637681159424,0.050724637681159424,0.050724637681159424,24.159420289855074,18.77536231884058,0.0,1.210144927536232,0.0,1.1159420289855073,7.239130434782608,24.18840579710145,18.78985507246377,0.0,1.2391304347826086,0.0,1.1159420289855073,7.239130434782608
SiCKRAGE_SiCKRAGE,1.9415954415954415,0.0,0.0,9.131054131054132,0.37037037037037035,0.0,0.0,0.24074074074074073,3.0712250712250713,0.0,7.497150997150997,0.29772079772079774,0.29772079772079774,0.2934472934472934,0.29772079772079774,0.2934472934472934,49.49287749287749,38.55555555555556,0.0,4.1424501424501425,0.0,2.8304843304843303,21.900284900284902,49.774928774928775,38.837606837606835,0.0,4.166666666666667,0.0,2.8304843304843303,21.900284900284902
jopohl_urh,7.630252100840337,0.0,0.0,24.92156862745098,0.07563025210084033,0.0,0.0,0.05042016806722689,10.666666666666666,0.0,6.190476190476191,0.025210084033613446,0.025210084033613446,0.025210084033613446,0.025210084033613446,0.025210084033613446,144.84593837535013,118.58823529411765,0.0,10.7703081232493,0.0,10.61624649859944,91.76470588235294,145.26610644257704,118.94397759103641,0.0,10.84593837535014,0.0,10.641456582633053,91.94117647058823
unifyai_ivy,7.777158774373259,0.0,0.0,14.493036211699165,0.24512534818941503,0.0,0.0,0.16434540389972144,9.696378830083566,0.0,151.69359331476323,0.38997214484679665,0.38997214484679665,0.20334261838440112,0.38997214484679665,0.20334261838440112,270.8050139275766,258.9442896935933,0.0,10.579387186629527,0.0,9.532033426183844,23.573816155988858,270.8050139275766,258.9442896935933,0.0,10.671309192200557,0.0,9.532033426183844,23.573816155988858
jyrkioraskari_IFCtoLBD,3.390138408304498,0.0,0.0,13.607266435986158,0.7275086505190311,0.0,0.0,0.5648788927335641,5.283737024221454,0.0,21.749134948096884,0.5865051903114187,0.6089965397923875,0.3754325259515571,0.6089965397923875,0.3754325259515571,75.81920415224913,55.99221453287197,0.0,13.249134948096886,0.0,4.718858131487889,29.657439446366784,76.24221453287197,56.311418685121104,0.0,13.42560553633218,0.0,4.7854671280276815,29.84083044982699
smicallef_spiderfoot,3.917985611510791,0.0,0.0,16.005755395683455,0.6302158273381295,0.0,0.0,0.19280575539568345,5.302158273381295,0.0,8.666187050359712,0.0,0.0,0.0,0.0,0.0,106.09640287769784,82.2589928057554,0.0,4.9784172661870505,0.0,5.109352517985611,50.992805755395686,106.09640287769784,82.2589928057554,0.0,5.110791366906475,0.0,5.110791366906475,50.99424460431655
intel_dffml,1.6154791154791155,0.0,0.0,4.125307125307125,0.5171990171990172,0.0,0.0,0.11793611793611794,2.0823095823095823,0.0,6.530712530712531,0.12776412776412777,0.13144963144963145,0.11547911547911548,0.13144963144963145,0.11547911547911548,36.616707616707615,28.963144963144963,0.0,2.1867321867321867,0.0,1.9643734643734643,11.334152334152334,36.616707616707615,28.963144963144963,0.0,2.230958230958231,0.0,1.972972972972973,11.342751842751843
CMSgov_bluebutton-web-server,1.2170385395537526,0.0,0.0,3.342799188640974,0.19878296146044624,0.0,0.0,0.07302231237322515,1.924949290060852,0.0,5.655172413793103,0.09939148073022312,0.09939148073022312,0.08924949290060852,0.09939148073022312,0.08924949290060852,44.393509127789045,35.46653144016227,0.0,2.0628803245436105,0.0,1.8519269776876268,12.28397565922921,44.95131845841785,36.02434077079108,0.0,2.160243407707911,0.0,1.8559837728194726,12.290060851926977
saltstack_salt,4.087695133149679,0.0,0.0,10.787878787878787,0.46786042240587694,0.0,0.0,0.25206611570247933,5.435720844811754,0.0,17.652433425160698,0.22268135904499542,0.28879706152433426,0.22681359044995408,0.28879706152433426,0.22681359044995408,105.40449954086317,89.38842975206612,0.0,6.53030303030303,0.0,5.183654729109275,33.00826446280992,105.84297520661157,89.75528007346189,0.0,6.749770431588614,0.0,5.299816345270891,33.18549127640037
karlproject_karl,2.1816160118606374,0.0,0.0,4.902149740548555,0.41215715344699777,0.0,0.0,0.07783543365455893,4.184581171237954,0.0,1.8858413639733136,0.10971089696071164,0.11045218680504076,0.10378057820607858,0.11045218680504076,0.10378057820607858,44.040770941438105,37.51223128243143,0.0,4.349147516679022,0.0,4.106745737583395,24.560415122312826,44.040770941438105,37.51223128243143,0.0,4.58932542624166,0.0,4.178650852483321,24.660489251297257
Rparadise-Team_Koriki,1.7257019438444925,0.0,0.0,5.0809935205183585,0.519438444924406,0.0,0.0,0.2840172786177106,2.58963282937365,0.0,6.6274298056155505,0.49352051835853133,0.5161987041036717,0.4503239740820734,0.5161987041036717,0.4503239740820734,25.463282937365012,19.49460043196544,0.0,4.292656587473002,0.0,2.3056155507559395,10.795896328293736,25.503239740820735,19.52375809935205,0.0,4.314254859611231,0.0,2.308855291576674,10.818574514038877
ietf-tools_datatracker,1.4680377987770983,0.0,0.0,4.421345191773208,0.1717620900500278,0.0,0.0,0.13841022790439134,2.095052807115064,0.0,5.621456364647026,0.11951083935519734,0.11951083935519734,0.1122846025569761,0.11951083935519734,0.1122846025569761,46.525847693162866,38.449694274597,0.0,2.3563090605892163,0.0,1.9566425792106725,21.30350194552529,48.672040022234576,40.43857698721512,0.0,2.423568649249583,0.0,1.971650917176209,21.407448582545857
borgbackup_borg,3.044943820224719,0.0,0.0,11.0,0.5430711610486891,0.0,0.0,0.6254681647940075,4.876404494382022,0.0,9.071161048689138,0.29213483146067415,0.40074906367041196,0.30711610486891383,0.40074906367041196,0.30711610486891383,76.5505617977528,64.37078651685393,0.0,6.99625468164794,0.0,4.250936329588015,35.2247191011236,77.05243445692884,64.67415730337079,0.0,7.400749063670412,0.0,4.348314606741573,35.37078651685393
pytorch_audio,2.127450980392157,0.0,0.0,5.340336134453781,0.2605042016806723,0.0,0.0,0.33613445378151263,3.7282913165266107,0.0,14.214285714285714,0.0784313725490196,0.0896358543417367,0.08823529411764706,0.0896358543417367,0.08823529411764706,59.32212885154062,47.01820728291317,0.0,3.5252100840336134,0.0,3.392156862745098,20.393557422969188,59.35294117647059,47.03221288515406,0.0,3.5826330532212887,0.0,3.392156862745098,20.393557422969188
