repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS
Lightning-AI_lightning,1.84131689811203,0.0,0.0,0.0,0.2189109065376814,0.0,1.680449368076143,1.2430956467467624,0.0,1.691995631143704,6.525354969574036,8.670307380246529,3.9247932594788577,2.1046965205180217,6.6264627867061945,8.787954439070058,3.992978623810267
numpy_numpy,1.755080069977123,0.0,0.0,0.0,0.314224195935944,0.0,1.9249091643116676,0.9130668819808908,0.0,1.964876867178038,9.398062171982236,12.000403714170368,6.77459292154488,1.5201184228233078,9.654016955995155,12.286233346790471,6.910240882788319
lllyasviel_ControlNet,2.892479801118707,0.0,0.0,0.0,0.3064014916096955,0.0,2.705407085146053,2.0540708514605344,0.0,2.7203231821006835,13.982597886886264,17.705407085146053,8.279676817899317,3.632069608452455,14.208825357364825,17.969546302050965,8.454319453076446
python-telegram-bot_python-telegram-bot,1.5993788819875776,0.0,0.0,0.0,0.1900056465273856,0.0,3.5093167701863357,2.9805194805194803,0.0,3.53613777526821,13.609824957651044,18.185206098249576,6.196781479390175,3.696499153020892,14.3184641445511,18.93167701863354,6.578204404291361
dragonpilot-community_dp-devel,3.2098765432098766,0.0,0.0,0.0,0.4203409758965314,0.0,1.69429747207525,0.1716637272192827,0.0,1.7178130511463845,12.430335097001764,15.519106407995295,9.441504997060552,1.9141681363903589,12.55379188712522,15.688418577307466,9.549088771310991
uds-se_debuggingbook,2.069696672229312,0.0,0.0,0.0,0.3784234809070383,0.0,2.0981643270835377,1.2764307450672423,0.0,2.143810739177383,7.70727397663689,10.241582408952588,5.4067929714341805,1.839206832237165,8.086973593796014,10.654657897320114,5.627171885736724
comfyanonymous_ComfyUI,2.579253112033195,0.0,0.0,0.0,0.329460580912863,0.0,1.6,0.6605809128630705,0.0,1.6107883817427386,14.87551867219917,17.536929460580915,8.653941908713692,3.615767634854772,15.195020746887966,17.912033195020747,8.902904564315353
cfpb_consumerfinance.gov,1.3354059985369422,0.0,0.0,0.0,0.2051938551572787,0.0,0.5950987564008778,0.2746891002194587,0.0,0.5965618141916605,9.227871250914411,10.267373811265545,4.279444038039503,1.407461594732992,9.282370153621068,10.325896122896854,4.3006583760058525
n00mkrad_flowframes,2.872508591065292,0.0,0.0,0.0,0.4286941580756013,0.0,3.0946735395189005,1.8290378006872847,0.0,3.115807560137457,9.343470790378008,13.030756013745703,6.347079037800687,2.16340206185567,9.523367697594502,13.2340206185567,6.461855670103093
pyecharts_pyecharts,2.0306122448979598,0.0,0.0,0.0,0.1972789115646258,0.0,0.1428571428571428,0.0442176870748299,0.0,0.1428571428571428,22.047619047619047,22.64625850340136,4.003401360544218,7.795918367346939,22.078231292517007,22.67687074829932,4.017006802721088
nateemma_strategies,15.025094696969695,0.0,0.0,0.0,0.5208333333333334,0.0,6.149147727272728,0.8925189393939394,0.0,6.206439393939394,18.494318181818183,27.99952651515152,15.047821969696969,2.620738636363636,18.66761363636364,28.24763257575757,15.134469696969695
PaddlePaddle_PaddleNLP,2.751751077586207,0.0,0.0,0.0,0.2722252155172414,0.0,3.6945043103448274,2.895878232758621,0.0,3.7152478448275854,14.36267510775862,19.38752693965517,8.145878232758621,3.240032327586207,14.60748922413793,19.67194234913793,8.312163254310345
aleju_imgaug,1.640754307420974,0.0,0.0,0.0,0.3177316510649844,0.0,2.0111246777913445,1.2576312576312576,0.0,2.022249355582689,10.311490978157645,13.35273368606702,6.415683082349749,1.6402116402116402,10.501424501424502,13.554063220729889,6.516347849681183
ietf-tools_datatracker,2.321657910099241,0.0,0.0,0.0,0.375072971395213,0.0,2.546701692936369,0.4512551079976649,0.0,2.578225335668418,15.988324576765908,19.235843549328663,11.025685931115005,1.5694687682428488,16.233800350262698,19.507880910683014,11.194103911266785
SiCKRAGE_SiCKRAGE,3.253807106598985,0.0,0.0,0.0,0.4314720812182741,0.0,2.448730964467005,1.7411167512690355,0.0,2.449238578680203,11.225888324873097,15.866497461928931,7.751776649746193,2.799492385786802,11.305583756345175,15.952791878172588,7.804060913705584
netbox-community_netbox,1.8759978712080891,0.0,0.0,0.0,0.092868547099521,0.0,1.074241617881852,0.4845662586482171,0.0,1.0784992017030337,10.862692921766897,13.10324640766365,5.426822778073444,1.697711548696115,10.894092602448112,13.141830761043108,5.438531133581693
Rparadise-Team_Koriki,2.221435316336166,0.0,0.0,0.0,0.4348441926345609,0.0,2.118035882908404,1.317752596789424,0.0,2.1397544853635506,6.303588290840415,8.564211520302171,4.6548630783758265,2.205854579792257,6.383380547686497,8.664778092540132,4.720018885741266
jopohl_urh,2.358695652173913,0.0,0.0,0.0,0.3205196182396606,0.0,0.5522269353128314,0.2722693531283139,0.0,0.5530222693531283,10.693796394485684,12.452810180275716,8.663573700954402,1.784464475079533,10.721898197242842,12.482767762460233,8.685047720042418
microsoft_nni,2.245100150764592,0.0,0.0,0.0,0.2569459401249192,0.0,2.090027999138488,1.4469093258668964,0.0,2.143441740254146,8.349989231100581,10.95886280422141,5.8216670256299805,2.3766961016584105,8.802929140641826,11.4766314882619,6.137195778591428
jyrkioraskari_IFCtoLBD,2.9523273273273274,0.0,0.0,0.0,0.4425675675675675,0.0,3.4690315315315314,1.9542042042042045,0.0,3.494369369369369,9.22222222222222,13.223536036036036,6.3432807807807805,2.1300675675675675,9.36843093093093,13.392267267267266,6.441441441441442
intel_dffml,2.1388535031847136,0.0,0.0,0.0,0.2331210191082802,0.0,1.7012738853503184,0.6681528662420382,0.0,1.7101910828025475,12.568789808917195,14.624203821656051,5.794267515923567,1.7414012738853504,12.7343949044586,14.8,5.880891719745223
facebookresearch_ParlAI,2.468842268842269,0.0,0.0,0.0,0.4248640248640248,0.0,3.0113442113442117,2.176223776223776,0.0,3.022222222222222,13.150893550893551,16.836208236208236,7.110800310800311,2.1804195804195805,13.262781662781665,16.95912975912976,7.177622377622377
ludwig-ai_ludwig,1.9001040582726327,0.0,0.0,0.0,0.2147069025320846,0.0,1.960110995490808,1.2424557752341312,0.0,1.989247311827957,8.917100242802636,11.542143600416232,4.157821713492889,2.7048213666319807,9.061394380853278,11.72147069025321,4.252514741588623
