,min,max,mean
2,0.000287874834612,0.116358034312725,0.016966742958174977
3,9.36793367145583e-05,0.0650292485952377,0.007259490007355231
4,5.118282842886401e-06,0.0404399149119854,0.0038326176418844162
5,5.490362582349917e-06,0.0293034240603446,0.0019217733222464904
6,1.0247529189655324e-06,0.0122006572782993,0.0007717448710794982
7,2.942359458302235e-07,0.0078995851799845,0.00042633913491870595
8,1.3675514942690372e-08,0.0043938844464719,0.00022634600104476718
9,7.385186240327357e-09,0.0016747084446251,0.00011846285072337966
10,2.00185983345591e-08,0.0011793399462476,7.117133922536618e-05
11,6.095874027778336e-09,0.0005950107588432,3.701540741431796e-05
12,0.0,0.0003956588625442,2.6520045598017614e-05
13,1.4172980280710568e-12,0.0002851066819857,1.9258945236515874e-05
14,0.0,0.0001465927780373,6.842081023434144e-06
15,0.0,8.263817289844155e-05,3.901205910214349e-06
16,0.0,5.862263060407713e-05,3.387017972926458e-06
17,0.0,3.692198879434727e-05,1.7460402777974192e-06
18,0.0,1.0262120667903218e-05,8.187447151236259e-07
19,0.0,2.482212039467413e-06,1.7723225628607139e-07
20,0.0,8.909600524020789e-07,4.4336536858952533e-08
