,min,max,mean
2,0.0033020502887666,0.1392982453107834,0.033409505701946195
3,0.0010546152479946,0.1004664450883865,0.014505629880433826
4,0.0005226434441283,0.0407476164400577,0.0058341873067523885
5,0.0001881813368527,0.0234096702188253,0.0031800625632063353
6,4.261270078131929e-05,0.0111068366095423,0.0015995180231860168
7,3.1015631975606084e-05,0.0067907935008406,0.0009087009520483742
8,1.6557129129068926e-05,0.0039256964810192,0.000391388671133972
9,9.470453733229078e-06,0.0018552598776295,0.00016826072177720207
10,4.261825779394712e-06,0.0010547795100137,9.899627490749915e-05
11,1.490057570663339e-06,0.0005908351740799,4.922153807500016e-05
12,2.360528696954134e-07,0.0002887199225369,2.2409761469515055e-05
13,4.03912530089201e-08,0.0001829641987569,1.1080149161498857e-05
14,1.381103120756677e-09,7.824126805644482e-05,5.073446478361373e-06
15,4.661039501825041e-18,3.947056029574014e-05,2.8430020976605646e-06
16,2.2830692258012387e-32,8.392977179028094e-06,7.679172136646907e-07
17,2.384479564257059e-32,3.154044406983303e-06,3.087345782917603e-07
18,1.081070930382564e-32,1.301711677115236e-06,1.2851432720942345e-07
19,8.665752435785564e-33,5.472139363860151e-08,5.380323436503729e-09
20,9.48994148365698e-33,1.15931975130934e-08,5.10772373619662e-10
